chr	start	end	strand	genes	LL_mean	k_mean	n	size
chr7	127519584	127604799	+	['Phkg2' 'Rnf40' 'Gm42715']	0.9858960303956533	0.00010606204348184265	3	85215
chr7	30942368	30973464	-	['Hamp' 'Usf2' 'Lsr']	0.9803505823459963	0.0006166729092002212	3	31096
chr11	120659157	120721128	+	['Notumos' 'Aspscr1' 'Lrrc45']	0.9780466050619893	0.00046454821206809617	3	61971
chr5	117115218	117275219	+	['9530046B11Rik' 'Taok3' 'Gm43637']	0.8174311695742332	0.0007415022507775443	3	160001
chr6	116208038	116409540	+	['March8' 'Washc2' 'Zfand4']	0.9123231804175255	0.0017068353214730776	3	201502
chr14	56696280	56811716	-	['Gm16973' 'Pspc1' 'Zmym5']	0.9446940689390465	9.331460257622917e-06	3	115436
chr12	64965804	65132058	+	['Fancm' 'Togaram1' 'Prpf39']	0.7915637939201116	5.284620734072866e-05	3	166254
chr13	99948530	100108339	-	['Mccc2' 'Bdp1' 'BC001981']	0.8584024060062165	7.958839196403963e-05	3	159809
chr8	23171265	23257074	-	['Gpat4' 'Gins4' 'Golga7']	0.8647534651319008	0.0033090014124618986	3	85809
chr14	59347407	59440884	-	['Phf11d' 'Phf11c' 'Setdb2']	0.8065412168103578	0.0006695621599615022	3	93477
chr6	5216258	5298455	-	['Pon3' 'Pon2' 'Gm44250']	0.9207148648006247	0.00022790855569709804	3	82197
chr5	150597062	150666183	-	['N4bp2l2' 'Gm43598' 'Gm43597']	0.9845269467400071	0.0002867936199714602	3	69121
chr5	148953748	149015813	-	['Gm15411' '1810059H22Rik' '5930430L01Rik']	0.7157346323312715	0.0007297482352675048	3	62065
chr8	83972993	84004770	+	['Prkaca' 'Samd1' '1700067K01Rik']	0.9332909237349719	0.000227890727352629	3	31777
chr14	64099295	64455903	-	['4930471C04Rik' 'Gm17116' 'Msra']	0.7310501747300883	0.0004081023757122392	3	356608
chr6	38433950	38609470	+	['Ubn2' 'Fmc1' 'Luc7l2']	0.9478933755656942	3.990258354821733e-06	3	175520
chr7	3617373	3661109	+	['Cnot3' 'Ndufa3' 'Prpf31']	0.9645614597287198	0.00015242187437375834	3	43736
chr6	47835661	47932639	+	['Zfp212' 'Zfp398' 'Zfp282']	0.9045533466258323	3.692962920464235e-05	3	96978
chr15	98517658	98610076	-	['Kansl2' 'Ccnt1' 'Adcy6']	0.9520186628576105	0.0007399406174198975	3	92418
chr14	30951377	31121592	+	['Nek4' 'Glt8d1' 'Pbrm1']	0.8176353392636471	0.0021803607708274185	3	170215
chr14	41105035	41159601	+	['Mat1a' 'Sftpa1' 'Mbl1']	0.7813619356027836	0.0008536327481539473	3	54566
chr8	70042813	70090862	+	['Sugp1' 'Tm6sf2' 'Hapln4']	0.7436441077725182	0.0009222012995358949	3	48049
chr14	29968308	30040527	+	['Selenok' 'Actr8' 'Chdh']	0.9688710844650134	0.00020310385651254234	3	72219
chr11	115765433	115855780	+	['Tmem94' 'Tsen54' 'Llgl2']	0.9059102550952648	0.0001424924099303501	3	90347
chr14	54426909	54471497	+	['Mrpl52' 'Mmp14' 'Lrp10']	0.9918857946009491	1.1894316600271422e-05	3	44588
chr7	126363824	126396737	-	['Lat' 'Spns1' 'Nfatc2ip']	0.7803722012629958	3.318482328695819e-05	3	32913
chr8	71456705	71511752	-	['Ano8' 'Plvap' 'Abhd8']	0.6627299757629624	0.0005035285634772583	3	55047
chr13	67658685	67755228	-	['Zfp65' 'Zfp85' 'Zfp738']	0.6320559736859299	7.378664383709746e-05	3	96543
chr7	141194157	141262750	+	['Rassf7' 'Phrf1' 'Lrrc56']	0.8563786719016226	0.00021287507995947292	3	68593
chr5	129715497	129758327	+	['Mrps17' 'Nipsnap2' 'Gm15903']	0.9792508999298599	0.00018994565818009895	3	42830
chr5	125441568	125517410	+	['Gm43756' 'Aacs' 'Bri3bp']	0.8387955535048576	0.006882882035333906	3	75842
chr5	124540695	124597680	+	['Gtf2h3' 'Tmed2' 'Ddx55']	0.8904983927333179	3.8234966113883826e-05	3	56985
chr15	58022259	58135082	-	['9130401M01Rik' 'Zhx1' 'Atad2']	0.8240102614792111	0.0008075738230200067	3	112823
chr15	58872674	58937359	+	['Rnf139' 'Gm49356' 'Trmt12']	0.8971862531495605	0.0007850175536550807	3	64685
chr7	18989554	19023538	-	['Gm10676' 'Mypopos' 'Foxa3']	0.9649168929019577	0.0009237085080442435	3	33984
chr12	84970897	85088228	+	['Prox2os' 'Fcf1' 'Ylpm1']	0.939920441203884	0.00026499999648845976	3	117331
chr7	19076227	19098549	+	['Dmwd' 'Dmpk' 'Six5']	0.9761624013605426	8.791264886444452e-05	3	22322
chr5	122989354	123038817	+	['A930024E05Rik' 'Orai1' 'Gm43412']	0.8690349402942293	0.000495870954146763	3	49463
chr7	64337550	64392268	-	['Gm20457' 'Fan1' 'Mphosph10']	0.8736748241925426	0.0004726619915566945	3	54718
chr7	19344778	19395694	+	['Ercc1' 'Ppp1r13l' 'Ercc2']	0.7910750512985004	0.00016093329045974934	3	50916
chr5	121566027	121660514	-	['Aldh2' 'Acad12' 'Acad10']	0.8073267689549484	0.0010839615059613662	3	94487
chr12	84285232	84373796	+	['Ptgr2' 'Zfp410' 'Coq6']	0.9494684623197975	0.00012044689991871318	3	88564
chr15	75940952	75999154	+	['Zfp707' 'Mapk15' 'Zfp623']	0.9318557954158632	0.0011362033137587233	3	58202
chr7	24081924	24143241	+	['Zfp180' 'Zfp112' 'Zfp235']	0.9049708050448468	5.909595214607316e-06	3	61317
chr11	120780746	120824547	-	['Rfng' 'Dus1l' 'Fasn']	0.8017763526175458	0.001998980110008926	3	43801
chr8	3493138	3544267	+	['Zfp358' 'Mcoln1' 'Pnpla6']	0.9661706792056659	0.0011880714040720115	3	51129
chr14	75131101	75344426	+	['Cpb2' 'Zc3h13' 'Lcp1']	0.920447500447159	0.00034416709709270355	3	213325
chr5	140008689	140389262	-	['Mrm2' 'Snx8' 'Mad1l1']	0.8540188729053831	9.703635388740462e-05	3	380573
chr11	106377656	106613423	-	['Icam2' 'Ern1' 'Tex2']	0.8300298371319547	0.0015486850729265235	3	235767
chr12	69577628	69724873	-	['Vcpkmt' 'Sos2' 'L2hgdh']	0.9351179530505656	0.0007261176541693608	3	147245
chr5	139150223	139270051	+	['Dnaaf5' 'Sun1' 'Get4']	0.8546796776164731	0.0007168987705121043	3	119828
chr7	118485111	118584736	-	['Itpripl2' 'Coq7' 'Tmc7']	0.7596375469501518	0.0005498199448555706	3	99625
chr5	137612852	137642899	+	['Gm20605' 'Gm36266' 'Lrch4']	0.934025577125865	0.00014515880568996165	3	30047
chr12	110447120	110666945	+	['B930059L03Rik' 'Dync1h1' 'Ppp2r5c']	0.9595058598628072	0.00027112615419963267	3	219825
chr11	103101682	103139876	+	['Hexim1' 'Hexim2' 'Acbd4']	0.8810103193565356	0.00045760090039067555	3	38194
chr8	4238740	4256220	+	['Map2k7' 'Tgfbr3l' 'Snapc2']	0.9740795150348948	0.0001774913266059937	3	17480
chr5	136178127	136567490	-	['Prkrip1' 'Sh2b2' 'Cux1']	0.8546254534902565	0.0001713864859778901	3	389363
chr7	118104372	118243670	-	['Rps15a' 'Arl6ip1' 'Smg1']	0.9730866854563605	0.00013325900266422886	3	139298
chr7	12965838	13031035	+	['Zfp324' 'Zfp446' 'Trim28']	0.9076554808516977	3.7330770950153127e-05	3	65197
chr8	94601937	94680166	+	['Rspry1' 'Arl2bp' 'Gm45767']	0.7603787759342308	0.0008537899552058947	3	78229
chr7	105731730	105752235	-	['Rrp8' 'Taf10' 'Tpp1']	0.9693490813931828	0.0002490645051876584	3	20505
chr19	9980598	10060110	+	['Fth1' 'Rab3il1' 'Fads3']	0.6677503764887981	0.0008835620978814825	3	79512
chr17	36005695	36042747	-	['H2-T24' 'H2-T23' 'H2-T22']	0.7970416816337043	0.00045074778223076566	3	37052
chr17	36948356	36971396	-	['Znrd1' 'H2-M6-ps' 'Ppp1r11']	0.9107469828385435	3.261665335066287e-05	3	23040
chr9	72985429	73042779	+	['2310009A05Rik' 'Ccpg1' 'Gm38192']	0.9002660133677338	0.0019283714030096186	3	57350
chr9	73101836	73134921	+	['Khdc3' 'Rsl24d1' 'Gm38215']	0.7898429389097789	0.001162195048469713	3	33085
chr17	45555703	45588377	+	['Nfkbie' 'Slc35b2' 'Gm17080']	0.7690436591465662	0.0009833412828327906	3	32674
chr2	166792531	166946389	+	['Cse1l' 'Trp53rkb' 'Arfgef2']	0.9126167159948754	0.0002919571995041637	3	153858
chr9	78109192	78209349	+	['Ick' 'C920006O11Rik' 'Gsta4']	0.8279831054166368	0.0005086031907085476	3	100157
chr19	7198202	7241183	-	['Otub1' 'Cox8a' 'Naa40']	0.9809970824104801	0.0007655157439147424	3	42981
chr9	88376750	88482574	-	['Snx14' 'Gm28229' 'Syncrip']	0.940005221059256	0.0003832711723952968	3	105824
chr17	35979851	36038435	+	['A930015D03Rik' 'Gnl1' 'Gm20508']	0.8067153989877536	0.00034449182828363037	3	58584
chr2	164456964	164508301	+	['Sys1' 'Dbndd2' 'Pigt']	0.8638042035086017	0.0008071913594285826	3	51337
chr17	46646229	46683111	+	['Mea1' 'Mrpl2' 'Cul7']	0.7642509830842549	0.0013708107986600438	3	36882
chr11	69391925	69413675	-	['Kdm6b' 'Cyb5d1' 'Tmem88']	0.9557151845554893	0.0002816162673968206	3	21750
chr2	156071842	156180238	-	['Nfs1' 'Rbm39' 'Cpne1']	0.9581500878924895	0.0001718606967874381	3	108396
chr11	69059717	69092384	+	['Vamp2' 'Borcs6' 'Tmem107']	0.8300067907174892	0.00043845911937166114	3	32667
chr2	155817730	155930310	-	['BC029722' 'Eif6' 'Uqcc1']	0.9799963971400435	0.0006141634288818389	3	112580
chr19	10182888	10207824	+	['Tmem258' 'Fads1' 'Gm10143']	0.9098667436399124	0.0014553434632370889	3	24936
chr17	35892677	35916389	-	['Atat1' 'Mrps18b' '2310061I04Rik']	0.9596189554162923	0.0005661208644053928	3	23712
chr1	131797381	131872887	+	['Pm20d1' 'Slc41a1' 'Rab29']	0.9092714593124205	0.0010038756936973825	3	75506
chr3	87906321	87940686	+	['Hdgf' 'Mrpl24' 'Isg20l2']	0.9955622008192592	0.0004076523683819815	3	34365
chr11	4091480	4160293	-	['Mtfp1' 'Sec14l2' 'Ccdc157']	0.90284756740769	0.0008262500525999045	3	68813
chr17	28232700	28331033	+	['Ppard' 'Fance' 'Rpl10a']	0.9022917715225051	0.004621129298135947	3	98333
chr3	88297116	88362338	+	['Smg5' 'Cct3' 'Glmp']	0.9231520806604702	0.000766782958035905	3	65222
chr1	139804167	139994205	-	['Cfhr2' 'Gm16332' 'Gm5834']	0.787425335716604	0.00024511111009111527	3	190038
chr19	18631950	18718428	+	['Nmrk1' 'Carnmt1' 'D030056L22Rik']	0.7223600672918257	0.0011610900330507482	3	86478
chr17	33810519	33849774	+	['Kank3' 'Ndufa7' 'Cd320']	0.8560542813519844	0.0003495188665433046	3	39255
chr3	54692807	54801257	+	['Alg5' 'Smad9' 'Supt20']	0.8673786469885877	0.0005696869515891182	3	108450
chr3	51415148	51496232	+	['Naa15' 'Rab33b' 'Gm37968']	0.8969831951283558	0.0007602092894275977	3	81084
chr10	76468927	76590338	+	['Ftcd' 'Mcm3ap' 'Lss']	0.918006584245095	0.0009145110573858927	3	121411
chr9	65435782	65488470	+	['Spg21' 'Mtfmt' 'Gm47270']	0.8380140615695288	0.0016703344320615002	3	52688
chr19	10577172	10666213	+	['Vwce' 'Cyb561a3' 'Ddb1']	0.960318232921136	0.000531171593376751	3	89041
chr3	10311956	10351317	-	['Impa1' 'Slc10a5' 'Zfand1']	0.9393793732406435	0.0009311621558826061	3	39361
chr17	35185095	35235792	-	['Lst1' 'Tnf' 'Nfkbil1']	0.782734108708874	0.0002585863113102881	3	50697
chr2	181319739	181387586	+	['Rtel1' 'Zgpat' 'Slc2a4rg-ps']	0.8798603952640086	4.895004663501411e-06	3	67847
chr1	172082529	172197005	+	['Pex19' 'Dcaf8' 'Copa']	0.9819021632372728	0.0005896444169186131	3	114476
chr18	34579846	34651735	-	['4933408B17Rik' 'Brd8' 'Cdc23']	0.8146694603158134	6.367995598772317e-05	3	71889
chr18	34758906	34847463	+	['Kdm3b' 'Reep2' 'Fam53c']	0.8965556049620366	0.0003315829731442233	3	88557
chr2	90891773	90918258	-	['Ptpmt1' 'AL672241.1' 'Ndufs3']	0.9987607152571517	0.00023661814524744075	3	26485
chr18	35771558	35877311	+	['Ube2d2a' 'Cxxc5' 'Gm50399']	0.8397939837757274	0.0006125835427126854	3	105753
chr10	43221486	43555817	+	['Bend3' 'Gm47889' 'Pdss2']	0.6992538772152394	0.0001259676292343968	3	334331
chr11	23256041	23499661	+	['Xpo1' 'Usp34' '1700030C12Rik']	0.8984013137339376	0.0006315977997274164	3	243620
chr2	84671316	84727350	-	['Tmx2' 'Zdhhc5' 'Clp1']	0.9384488507305516	1.4258123800437354e-05	3	56034
chr11	51600100	51650842	-	['Hnrnpab' 'Rmnd5b' 'N4bp3']	0.8877954829546848	0.000797778845028929	3	50742
chr19	4261668	4398285	-	['Grk2' 'Kdm2a' 'Ssh3']	0.9574527845087059	8.109005688950322e-05	3	136617
chr11	60714123	60811718	-	['Flii' 'Top3a' 'Shmt1']	0.9096414511436115	0.0017658917153253702	3	97595
chr10	40219583	40258108	-	['Gm37786' 'Rpf2' 'Gtf3c6']	0.9108252741682988	0.0017333772670115987	3	38525
chr9	123366927	123592600	+	['Lars2' 'Limd1' 'Sacm1l']	0.8638448987155837	0.00013610221647352103	3	225673
chr18	46758557	46773071	+	['A430019L02Rik' 'Gm49971' 'Gm49972']	0.8461924112002673	7.273820967230291e-05	3	14514
chr10	7667503	7763150	+	['Katna1' 'Nup43' 'Lats1']	0.8160502941026149	0.00047210602205481834	3	95647
chr2	32232782	32288075	-	['Uck1' 'Swi5' 'Gm13610']	0.9244156484375262	0.00017837623588282483	3	55293
chr18	64452914	64661267	-	['Atp8b1' 'Fech' 'Nars']	0.9357576000173871	9.442671195195231e-05	3	208353
chr10	30530914	30606634	-	['Gm48233' 'Trmt11' 'Gm20300']	0.8761092828897774	7.623372079305588e-05	3	75720
chr18	74998558	75286964	+	['Rpl17' 'BC031181' 'Dym']	0.948732957606309	0.00045331794155784163	3	288406
chr2	29787493	29845002	+	['Coq4' 'Slc27a4' 'Urm1']	0.7481070345447959	2.204341665693895e-05	3	57509
chr2	92093117	92385708	+	['1700029I15Rik' 'Phf21a' 'Pex16']	0.9529700971352005	0.0010211792108751607	3	292591
chr2	9914552	10131396	-	['Atp5c1' 'Itih2' 'Taf3']	0.9232246151522879	0.001684296706705244	3	216844
chr1	180165238	180263438	-	['Coq8a' 'Gm37336' 'Psen2']	0.6625532373566193	0.0035923956916785195	3	98200
chr17	56990305	57021113	+	['Clpp' 'Alkbh7' 'Gm17949']	0.7647279485182005	0.000335344531974883	3	30808
chr17	57003405	57059863	-	['Gtf2f1' 'Khsrp' 'Slc25a23']	0.9622222327037511	7.077380488234419e-05	3	56458
chr10	62538626	62651218	-	['Kif1bp' 'Ddx21' 'Ddx50']	0.8779609034681023	0.0003458041694723377	3	112592
chr17	65921972	66101559	-	['Ndufv2' 'Twsg1' 'Ankrd12']	0.7971779098441624	0.00016689415234751734	3	179587
chr2	130613840	130664659	-	['Fastkd5' 'Lzts3' 'Ddrgk1']	0.9721257853479681	0.000329911152895337	3	50819
chr2	130590002	130664659	-	['Ubox5' 'Lzts3' 'Ddrgk1']	0.9609169361577531	0.00032340713507214726	3	74657
chr2	130424339	130568695	+	['Mrps26' 'Vps16' 'Ptpra']	0.9286977995257111	0.00016555677718272112	3	144356
chr2	129065942	129134134	+	['Ttl' 'Polr1b' 'Chchd5']	0.807514647391537	0.0015342572803097455	3	68192
chr17	74186768	74323944	-	['Dpy30' 'Gm49883' 'Memo1']	0.7878128015600488	0.00037747922665854784	3	137176
chr1	191986832	192138062	-	['Gm26670' 'Traf5' 'Rcor3']	0.9083696541900942	0.00019957466067317093	3	151230
chr1	194650319	194680565	+	['Gm37783' 'Gm37674' 'Gm38036']	0.8980684456060116	0.00212708258091445	3	30246
chr2	127208386	127298932	+	['Tmem127' 'Stard7' 'Snrnp200']	0.9680078892719383	0.0003206914186857969	3	90546
chr17	78649913	78882573	-	['Eif2ak2' 'Strn' 'Heatr5b']	0.8281577373773906	5.934848046621493e-06	3	232660
chr9	109057933	109097796	-	['Trex1' 'Tma7' 'Gm7628']	0.9299305031121129	2.1982976610921775e-05	3	39863
chr9	109057933	109097796	-	['Atrip' 'Tma7' 'Gm7628']	0.9105068205596556	1.973246094465345e-05	3	39863
chr3	95111022	95139518	+	['Lysmd1' 'Vps72' 'Tmod4']	0.8626601296876529	7.990333883697879e-06	3	28496
chr1	37865299	37898535	+	['Lipt1' 'Mrpl30' 'Gm26805']	0.9091605158321707	2.005670545061727e-05	3	33236
chr4	120921196	121017247	-	['Exo5' 'Zfp69' 'Smap2']	0.8264320889691397	0.00017211890801001532	3	96051
chr16	17451987	17526333	+	['Crkl' 'Aifm3' 'Lztr1']	0.8240971833652404	0.00012586561995638418	3	74346
chrX	73916873	73966357	-	['Hcfc1' 'Naa10' 'Renbp']	0.8167073641438894	5.358005783554781e-05	3	49484
chr4	116995317	117116101	+	['Hectd3' 'Eif2b3' 'Ptch2']	0.7757535672239166	0.0006396935209210244	3	120784
chr16	17835277	17928219	-	['Ess2' 'Slc25a1' 'Gm20518']	0.9539005286202743	6.847443010013472e-05	3	92942
chr4	116507549	116600266	+	['Ipp' 'Gpbp1l1' 'Ccdc17']	0.870104988713959	0.00022012990164610143	3	92717
chr4	115967145	116075071	-	['Faah' 'Nsun4' 'Uqcrh']	0.8300116669617502	0.00020462386087701304	3	107926
chrX	73891442	73966357	-	['Hcfc1' 'Arhgap4' 'Renbp']	0.7613236726698588	5.1172759484674685e-05	3	74915
chr4	101353783	101466995	+	['0610043K17Rik' 'Gm12798' 'Ak4']	0.9001415997255391	0.00022980808907941907	3	113212
chr9	21927471	21958264	+	['Ccdc159' 'Plppr2' 'Swsap1']	0.8357559107499838	0.0002026217091760222	3	30793
chr16	22805203	22894386	-	['Tbccd1' 'Gm30505' 'Crygs']	0.7792485941769884	0.0011530882039314167	3	89183
chr11	85311244	85841948	+	['Ppm1d' 'Bcas3' 'Tbx2']	0.7680198993372751	9.351005789614996e-05	3	530704
chr4	62499008	62525068	-	['Hdhd3' 'Alad' 'Pole3']	0.887245874141902	0.00039561674704013326	3	26060
chrX	20925454	20962017	-	['Cfp' 'Elk1' 'Uxt']	0.8944137505356151	9.971202910138092e-05	3	36563
chr16	31959672	32099740	-	['Senp5' 'Pak2' 'Pigx']	0.9240286987169593	0.00018616028094874226	3	140068
chr1	66719248	66863277	-	['Kansl1l' 'Gm38218' 'Acadl']	0.9486507980450583	0.00016745599301163763	3	144029
chr4	126316047	126468583	-	['Ago3' 'Ago1' 'Adprhl2']	0.8912944717568697	0.0007849914590932488	3	152536
chr15	102497646	102625464	-	['Map3k12' 'Gm28047' 'Atf7']	0.832750913742383	4.0837075023332336e-05	3	127818
chr4	153957237	154021513	+	['Cep104' 'Lrrc47' 'A430005L14Rik']	0.933712702976966	9.131902226188598e-05	3	64276
chr8	124893108	124949324	-	['Exoc8' 'Gm45709' 'Egln1']	0.8895057628325115	0.0003177471258972968	3	56216
chr4	152039321	152120119	+	['Plekhg5' 'Tnfrsf25' 'Nol9']	0.7256450815404029	0.00149685595732296	3	80798
chrX	164269371	164433916	+	['Vegfd' 'Piga' 'Pir']	0.6551952224315052	0.0001745847251472712	3	164545
chr15	100459740	100552008	-	['Tfcp2' '5330439K02Rik' 'Csrnp2']	0.8454362702861897	0.000293902607686986	3	92268
chr10	127171393	127211585	-	['Pip4k2c' 'Slc26a10' 'Dtx3']	0.6885505258039307	0.0009749244993202243	3	40192
chr15	101284272	101318538	+	['Atg101' 'Smim41' 'Gm49499']	0.7920532234150715	0.0002142643173274454	3	34266
chr15	102459028	102523676	+	['Prr13' 'Pcbp2' 'Tarbp2']	0.9637732218585907	0.0005605510255712092	3	64648
chr10	105505804	105534493	-	['Gm15666' 'Gm48204' 'Gm48207']	0.7314744931145271	0.001462861358481533	3	28689
chr4	137993022	138261332	+	['Eif4g3' 'Hp1bp3' 'Sh2d5']	0.8302336197606097	0.0004395703394208166	3	268310
chr4	136880129	136898803	-	['C1qb' 'C1qc' 'C1qa']	0.9452912058256198	0.00013266049406112572	3	18674
chr9	20428449	20521417	-	['Zfp426' 'Zfp266' 'Zfp26']	0.9652826556385303	0.0007490266096728202	3	92968
chr16	3847268	3941147	+	['Zfp174' 'Naa60' 'Cluap1']	0.8319000780563749	0.0007840087794612627	3	93879
chr4	133553376	133591735	+	['Gpn2' 'Nr0b2' 'Gpatch3']	0.861309291995677	0.0006492020463913073	3	38359
chr4	133253090	133353481	-	['Sytl1' 'Tmem222' 'Wdtc1']	0.867644762245976	0.002345661421947912	3	100391
chr4	132826929	132922558	-	['Ppp1r8' 'Stx12' 'Fam76a']	0.9387930838494852	0.0004847557525699552	3	95629
chr4	132265708	132311024	+	['Gm28874' 'Taf12' 'Snhg12']	0.8740698888530684	5.937313387574132e-05	3	45316
chrX	7697131	7731064	+	['Praf2' 'Gpkow' 'Gm45208']	0.7948426107537836	0.0005905309756604659	3	33933
chr9	46012820	46243459	+	['Apoa4' 'Sik3' 'Apoa1']	0.8812309052128707	0.0002707158956305065	3	230639
chr10	128933818	128992102	+	['9030616G12Rik' 'Olfr9' 'Itga7']	0.663743257083916	0.0007486995759039875	3	58284
chr11	82802449	82908411	-	['Rffl' 'Rad51d' 'Nle1']	0.9070873969067366	0.0011346616823050151	3	105962
chr9	46268633	46299110	+	['Apoa5' 'Zpr1' 'Bud13']	0.9295781251107026	0.0013139669609595107	3	30477
chr19	46152509	46330446	+	['Fbxl15' 'Gbf1' 'Nfkb2']	0.8869585344926151	0.00015686243304592672	3	177937
chr17	8282904	8344113	+	['Mpc1' 'Sft2d1' 'Prr18']	0.9254401004483442	0.00012074426406169889	3	61209
chr3	108256926	108361511	+	['Sort1' 'Gm43099' 'Psma5']	0.7694509135420288	0.004390630331384844	3	104585
chr17	15475021	15564354	-	['Psmb1' 'Pdcd2' 'Prdm9']	0.8768296676320949	0.0008434956763762378	3	89333
chr9	50488795	50555181	-	['Plet1os' 'Pts' 'Bco2']	0.9363811884059619	0.0019959525982670982	3	66386
chr1	93751500	93852348	+	['Atg4b' 'Ing5' 'D2hgdh']	0.8044964854556002	0.00011276911203192408	3	100848
chr3	103722222	103809444	-	['Hipk1' 'Dclre1b' 'Olfml3']	0.8315964502935386	0.0003986272631398126	3	87222
chr17	24351950	24439348	+	['Rnps1' 'Eci1' 'Abca3']	0.9584012027781145	0.00030786454953270415	3	87398
chr17	24440081	24479078	-	['Dnase1l2' 'E4f1' 'Mlst8']	0.831396042254091	1.9021357469037288e-05	3	38997
chr1	131176410	131527352	-	['Ikbke' 'Srgap2' 'Rassf5']	0.7966509413896677	0.00042554909203153035	3	350942
chr16	90925809	91044543	-	['Cfap298' 'Synj1' 'Paxbp1']	0.9087882323034084	6.060469361393533e-05	3	118734
chr16	35938470	36043928	+	['Parp9' 'Kpna1' 'Wdr5b']	0.9467228577712858	0.0001339458491636078	3	105458
chr11	78245746	78296805	+	['Sdf2' '2610507B11Rik' 'Rskr']	0.9755746034346536	0.00032216624274608905	3	51059
chr11	78176711	78205763	+	['Proca1' 'Tlcd1' 'Rab34']	0.7991062733849145	0.0006097148441219728	3	29052
chr11	80154105	80267907	+	['Adap2' 'Rnf135' 'Rhot1']	0.9808618279435919	0.00014418933511231664	3	113802
chr9	44793769	44881296	-	['Tmem25' 'Ttc36' 'Kmt2a']	0.9882684037508241	7.625036861519181e-06	3	87527
chr3	152380857	152394240	-	['Gm43857' 'Gm42967' 'Gm43859']	0.9034117401634135	0.0003084993889459333	3	13383
chr3	137864487	137928900	+	['Lamtor3' 'H2afz' 'Dnajb14']	0.876062591172058	0.0001351432235898828	3	64413
chr11	77982754	78060434	+	['Flot2' 'Phf12' 'Dhrs13']	0.8376829562901619	6.49450936569855e-05	3	77680
chr11	78158499	78183584	-	['Traf4' 'Nek8' 'Rpl23a']	0.8303555103939525	0.0004012208612888741	3	25085
chr11	30771726	31102704	+	['Psme4' 'Asb3']	0.7234644308969891	0.00011413425562576761	2	330978
chr10	127801152	127877317	+	['Rdh16f2' 'Rdh16']	0.723453017049426	0.00436352296324311	2	76165
chr12	28649602	28682175	+	['Rnaseh1' 'Adi1']	0.9662157327827501	0.0004725502286988584	2	32573
chr12	28594173	28635953	-	['Colec11' 'Rps7']	0.8711579009309581	1.2812480734386002e-05	2	41780
chr10	122448499	122456809	+	['Avpr1a' 'Gm48878']	0.8428577456730673	0.0035578036042952623	2	8310
chr11	4637747	4737669	+	['Ascc2' 'Zmat5']	0.8388098390183807	6.712999344285489e-05	2	99922
chr12	73901375	73988966	+	['Snapc1' 'Hif1a']	0.8534238800118596	0.0011597944520925268	2	87591
chr11	23564961	23665959	-	['0610010F05Rik' 'Pex13']	0.8469617141934753	0.0005452360383888448	2	100998
chr11	3963975	3999326	+	['Pes1' 'Gal3st1']	0.7637899131394579	0.0003071227625160342	2	35351
chr11	5762129	5800962	+	['Dbnl' 'Ube2d-ps']	0.9314354626260952	0.0003690752037004563	2	38833
chr11	29130744	29220797	+	['Ppp4r3b' 'Pnpt1']	0.8341587857216362	0.0007165005577813185	2	90053
chr11	5498840	5525893	+	['Gm11963' 'Xbp1']	0.8233558791456355	0.001441475835849554	2	27053
chr11	29515086	29545279	+	['Gm12089' 'Mtif2']	0.7996938948443961	0.00012156078752927223	2	30193
chr10	127660918	127676724	-	['Nab2' 'Gm16230']	0.7555291886301958	0.0012488090506595998	2	15806
chr12	54645392	54695897	-	['Sptssa' 'Eapp']	0.9157505576654292	0.000130671651787483	2	50505
chr12	55299577	55418454	+	['Prorp' 'Psma6']	0.7344304582678258	0.00042812145498370203	2	118877
chr12	69184157	69199867	+	['9330151L19Rik' 'Mgat2']	0.9356796970086152	0.00048210791638390003	2	15710
chr12	69310522	69372468	-	['Gm9887' 'Nemf']	0.916961042123258	0.0006290672561166902	2	61946
chr12	24974925	25067478	+	['Kidins220' 'Gm47701']	0.9730500654117289	0.0012958051258732022	2	92553
chr12	21323509	21417637	-	['Adam17' 'Ywhaq']	0.9245432791053838	0.00011791516322075176	2	94128
chr12	31590967	31654826	-	['Bcap29' 'Dus4l']	0.7238007537049687	0.00032010538678824396	2	63859
chr12	21285391	21323819	+	['Iah1' 'Cpsf3']	0.9616964234691912	0.0005377964748690664	2	38428
chr10	127517123	127621148	-	['Lrp1' 'Shmt2']	0.9989411998032799	0.00028028559455952316	2	104025
chr12	51348061	51450101	+	['G2e3' 'Scfd1']	0.8034139157095425	0.00040778717200184246	2	102040
chr12	69182731	69198429	-	['Rpl36al' 'Dnaaf2']	0.7954110667537898	0.00014339504512625	2	15698
chr12	51875871	52006501	-	['Heatr5a' 'Dtd2']	0.8140881817654448	0.00032344773370192786	2	130630
chr12	72067976	72085439	-	['Gpr135' 'L3hypdh']	0.9475797308518019	8.07154605071844e-05	2	17463
chr10	127348857	127370431	-	['Inhbe' 'Inhbc']	0.8840854416068362	0.0005218954307335177	2	21574
chr12	4862440	4907705	-	['Mfsd2b' 'Ubxn2a']	0.6750470757854125	0.0004878520922150327	2	45265
chr10	127281956	127311786	-	['Mbd6' 'Mars']	0.9698580383294684	0.0002453938191187214	2	29830
chr12	4196004	4477182	-	['Ncoa1' 'Cenpo']	0.7824860171121635	0.00010769648938825088	2	281178
chr11	120710942	120727281	-	['Cenpx' 'Dcxr']	0.9332564019834808	0.000257572878570075	2	16339
